ID,school,school_name,city,address,lat,lon,ndvi_mean,nlcd_canopy_mean,nlcd_high_canopy_frac,percent_eligible_frpm_k12
43693696046122,Ben Painter Elementary,Ben Painter Elementary,San Jose,500 Rough and Ready Road,37.37495,-121.84331,0.1373771006467211,0.0,0.0,0.519
43693696046213,Linda Vista Elementary,Linda Vista Elementary,San Jose,100 Kirk Avenue,37.376934,-121.82372,0.2545446748545895,4.095640293131288,0.2899018755434107,0.682
43693696046221,Lyndale Elementary,Lyndale Elementary,San Jose,13901 Nordyke Drive,37.359746,-121.82492,0.2120971900683174,0.4346206382714516,0.0181298894821805,0.8290000000000001
43693696046247,Aptitud Community Academy at Goss,Aptitud Community Academy at Goss,San Jose,2475 Van Winkle Lane,37.34995,-121.8314,0.2053535515276407,0.8440332795231592,0.0716503166521793,0.8909999999999999
43693696046254,Millard McCollam Elementary,Millard McCollam Elementary,San Jose,3311 Lucian Avenue,37.380472,-121.83312,0.2193383195823911,0.0,0.0,0.535
43693696046270,O. S. Hubbard Elementary,O. S. Hubbard Elementary,San Jose,1680 Foley Avenue,37.330237,-121.83946,0.2496681867504781,1.893487447178722,0.1511309967685806,0.85
43693696046304,San Antonio Elementary,San Antonio Elementary,San Jose,1721 East San Antonio Street,37.350025,-121.85234,0.194917554317976,2.361818407651224,0.2066823997019004,0.917
43693696046320,Thomas P. Ryan Elementary,Thomas P. Ryan Elementary,San Jose,1241 McGinness Avenue,37.350062,-121.82257,0.220998422360522,1.1121739130434782,0.1036024844720496,0.838
43693696046338,William Sheppard Middle,William Sheppard Middle,San Jose,480 Rough and Ready Road,37.37451,-121.843,0.1129348462028064,0.0,0.0,0.7140000000000001
43693696089270,Ocala Middle,Ocala Middle,San Jose,2800 Ocala Avenue,37.340385,-121.82046,0.1143903121125172,0.0,0.0,0.7929999999999999
43693776046379,Noble Elementary,Noble Elementary,San Jose,3466 Grossmont Drive,37.396302,-121.8391,0.2684959881764147,3.356024844720497,0.2524223602484472,0.235
43693776046387,Northwood Elementary,Northwood Elementary,San Jose,2760 East Trimble Road,37.40946,-121.88134,0.2774747991445297,3.29355519682106,0.299143176455979,0.133
43693776046395,Piedmont Middle,Piedmont Middle,San Jose,955 Piedmont Road,37.390727,-121.84264,0.3520162761252553,5.884581935644178,0.3374332215182009,0.34
43693776067177,Ruskin Elementary,Ruskin Elementary,San Jose,1401 Turlock Lane,37.400282,-121.85589,0.2096629182135947,1.922599080631134,0.157410858491738,0.155
43693776068928,Morrill Middle,Morrill Middle,San Jose,1970 Morrill Avenue,37.410219,-121.87111,0.2576854069335907,3.5109316770186334,0.2667080745341614,0.349
43693776093033,Sierramont Middle,Sierramont Middle,San Jose,3155 Kimlee Drive,37.403132,-121.85593,0.2724704297778473,1.7789369100844508,0.1520119225037257,0.248
43693776093041,Vinci Park Elementary,Vinci Park Elementary,San Jose,1311 Vinci Park Way,37.380943,-121.87333,0.2898196378089589,5.692947603675193,0.3081698534889496,0.312
43693776095335,Brooktree Elementary,Brooktree Elementary,San Jose,1781 Olivetree Drive,37.398513,-121.88005,0.2535496422569472,1.002733598409543,0.1002733598409542,0.406
43693776095343,Majestic Way Elementary,Majestic Way Elementary,San Jose,1855 Majestic Way,37.410648,-121.85723,0.2882913815007691,1.0906832298136646,0.0998757763975155,0.299
43693776095350,Summerdale Elementary,Summerdale Elementary,San Jose,1100 Summerdale Drive,37.389589,-121.85196,0.2581960015867953,1.5996520874751494,0.1512176938369781,0.3829999999999999
43693850133439,Steindorf STEAM K-8 Magnet,Steindorf STEAM K-8 Magnet,San Jose,3001 Ross Avenue,37.266653,-121.92053,0.2486928347060953,0.7857675111773471,0.0673124689518132,0.047
43693856046411,Bagby Elementary,Bagby Elementary,San Jose,1840 Harris Avenue,37.278715,-121.92193,0.3830342711541259,9.03751086821513,0.5508632468016397,0.149
43694014330239,Leigh High,Leigh High,San Jose,5210 Leigh Avenue,37.24331,-121.92258,0.2881105109012494,1.6422451260399848,0.1477710170122935,0.18
